City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
654,Tahta,EG,66.2,clear sky,26.77,31.5,ماستر تك
657,Ubrique,ES,59.0,broken clouds,36.68,-5.45,Hotel Sierra de Ubrique
661,Dudinka,RU,10.4,light snow,69.41,86.18,Hotel Viktoria
666,Segezha,RU,23.58,scattered clouds,63.74,34.32,Sampo Hotel
667,Yantarnyy,RU,39.2,broken clouds,54.87,19.94,Sshloss Hotel Yantarny
669,Srisailam,IN,68.81,light rain,16.08,78.87,Vasavi Satram
673,Mount Holly,US,66.2,few clouds,35.3,-81.02,Holiday Inn Express & Suites Charlotte Arpt-Belmont
674,Bam,IR,61.95,overcast clouds,29.11,58.36,Bam Tourist Hotel
675,Ermioni,GR,55.0,overcast clouds,37.39,23.24,Zoe Pension
676,Baghdad,IQ,60.8,overcast clouds,33.34,44.4,Baghdad Hotel
679,Povenets,RU,22.24,broken clouds,62.85,34.83,Eko Otel' Bol'shaya Medveditsa
680,San Julian,MX,72.61,clear sky,21.02,-102.17,La Nueva España
682,Mogliano Veneto,IT,48.2,broken clouds,45.56,12.23,Hotel Villa Stucky
684,Rio Gallegos,AR,51.8,broken clouds,-51.62,-69.22,Hotel Santa Cruz
686,Igdir,TR,32.0,scattered clouds,39.92,44.05,Igdir Central Hotel Emperor Hotel
689,Cervo,ES,54.0,overcast clouds,43.67,-7.41,Hotel Spa Galatea
694,Antibes,FR,64.4,broken clouds,43.56,7.13,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
697,Aktau,KZ,33.8,scattered clouds,43.65,51.2,Silk Way Hotel
698,Kazerun,IR,61.65,overcast clouds,29.62,51.65,آپارتمان بزرگ اویسا
701,Cagli,IT,51.01,fog,43.55,12.65,Hotel Pineta
703,Chardara,KZ,36.66,broken clouds,41.25,67.97,Жанаргул
704,Goderich,CA,39.2,few clouds,43.75,-81.72,Harmony Inn
706,Kathmandu,NP,48.2,few clouds,27.72,85.32,Hotel Shanker Kathmandu
709,Hammerfest,NO,41.0,light rain,70.66,23.68,Skytterhuset
710,Barkot,IN,51.62,few clouds,30.82,78.2,Camp Nirvana Yamunotri
713,Talbahat,IN,59.7,clear sky,25.05,78.43,PWD Guest House
715,Hajnowka,PL,32.0,light snow,52.74,23.58,"Zajazd ""Wrota Lasu"""
