City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Dores Do Indaia,BR,2020-11-25 00:18:33,-19.46,-45.6,69.06,84,100,3.15
118,Vagay,RU,2020-11-25 00:18:33,57.94,69.02,16.03,95,100,7.45
119,Limache,CL,2020-11-25 00:18:33,-33.02,-71.27,68.0,49,0,12.75
120,Iqaluit,CA,2020-11-25 00:18:33,63.75,-68.51,1.4,70,75,4.7
121,Passagem Franca,BR,2020-11-25 00:18:33,-6.18,-43.78,75.88,76,32,3.04
122,Koungou,YT,2020-11-25 00:18:33,-12.73,45.2,80.6,74,20,6.93
123,Dingle,PH,2020-11-25 00:18:33,11.0,122.67,79.5,85,74,13.82
124,Sorland,NO,2020-11-25 00:18:33,67.67,12.69,41.0,86,75,18.34
125,Brekstad,NO,2020-11-25 00:18:33,63.69,9.67,43.0,80,75,18.34
126,Boende,CD,2020-11-25 00:18:33,-0.22,20.87,69.89,97,96,1.5
127,Morondava,MG,2020-11-25 00:18:33,-20.28,44.28,79.68,65,36,3.56
128,Priiskovyy,RU,2020-11-25 00:18:34,51.93,116.63,5.99,87,0,4.16
129,Aleksandrov Gay,RU,2020-11-25 00:18:34,50.15,48.57,35.26,98,100,7.14
130,Khunzakh,RU,2020-11-25 00:18:34,42.54,46.7,25.9,88,100,2.28
131,Narsaq,GL,2020-11-25 00:18:34,60.92,-46.05,37.4,51,100,25.28
132,Changji,CN,2020-11-25 00:18:34,44.02,87.32,23.0,62,75,2.24
133,Am Timan,TD,2020-11-25 00:18:34,11.03,20.28,74.39,28,41,6.53
134,Muli,MV,2020-11-25 00:18:34,2.92,73.57,82.26,70,34,7.45
135,Capinopolis,BR,2020-11-25 00:13:37,-18.68,-49.57,73.99,71,54,7.87
136,Bud,US,2020-11-25 00:18:34,39.45,-86.18,46.4,70,1,5.82
137,Ticvaniu Mare,RO,2020-11-25 00:18:34,45.14,21.64,37.0,85,0,6.93
138,Kilingi-Nomme,EE,2020-11-25 00:18:35,58.15,24.96,41.23,98,100,4.21
139,Ponta Do Sol,PT,2020-11-25 00:18:35,32.67,-17.1,62.6,77,40,2.24
140,Kety,PL,2020-11-25 00:18:35,49.88,19.22,32.0,2,10,14.0
141,Tarrega,ES,2020-11-25 00:18:35,41.65,1.14,46.99,94,100,1.99
142,Kontagora,NG,2020-11-25 00:18:35,10.4,5.47,76.73,38,0,4.32
143,Guadalajara,MX,2020-11-25 00:17:24,20.67,-103.33,80.6,24,40,5.82
144,Battle Creek,US,2020-11-25 00:15:01,42.32,-85.18,35.6,93,90,11.41
145,La Troncal,EC,2020-11-25 00:18:35,-2.4,-79.33,80.6,62,88,3.36
146,Ostrovnoy,RU,2020-11-25 00:18:35,68.05,39.51,32.74,93,23,3.47
147,Santiago Del Estero,AR,2020-11-25 00:18:36,-27.8,-64.26,90.63,44,57,4.18
148,Mitsamiouli,KM,2020-11-25 00:18:36,-11.38,43.28,79.52,78,12,12.41
149,Sao Joao Da Barra,BR,2020-11-25 00:18:36,-21.64,-41.05,72.63,86,98,9.73
150,Hambantota,LK,2020-11-25 00:18:36,6.12,81.12,77.81,81,100,12.97
151,Harper,LR,2020-11-25 00:18:36,4.38,-7.72,78.03,88,9,7.81
152,Smiltene,LV,2020-11-25 00:18:36,57.42,25.9,43.0,98,100,4.0
153,Isiolo,KE,2020-11-25 00:18:36,0.35,37.58,68.83,69,45,4.23
154,Klaksvik,FO,2020-11-25 00:18:36,62.23,-6.59,37.4,93,48,1.12
155,Rypefjord,NO,2020-11-25 00:18:36,70.63,23.67,30.2,74,0,13.87
156,Jashpurnagar,IN,2020-11-25 00:18:36,22.9,84.15,53.01,55,56,4.32
157,Ancud,CL,2020-11-25 00:18:37,-41.87,-73.82,54.0,76,40,11.41
158,Axim,GH,2020-11-25 00:18:37,4.87,-2.24,78.87,85,20,6.67
159,Kangaatsiaq,GL,2020-11-25 00:18:37,68.31,-53.46,28.76,90,100,23.09
160,Chapais,CA,2020-11-25 00:18:37,49.78,-74.85,8.6,92,90,3.36
161,Kavaratti,IN,2020-11-25 00:18:37,10.57,72.64,82.09,69,61,7.65
162,Gornopravdinsk,RU,2020-11-25 00:18:37,60.05,69.9,17.46,94,99,9.24
163,Nanortalik,GL,2020-11-25 00:18:37,60.14,-45.24,31.77,98,100,37.49
164,Nicoya,CR,2020-11-25 00:15:02,10.15,-85.45,84.2,66,75,19.46
165,Hamilton,US,2020-11-25 00:17:54,39.18,-84.53,46.99,65,1,5.88
166,Alta Floresta,BR,2020-11-25 00:18:37,-9.88,-56.09,74.23,91,89,3.51
167,Padang,ID,2020-11-25 00:18:37,-0.95,100.35,77.58,76,99,3.29
168,Ilo,PE,2020-11-25 00:18:37,-17.64,-71.34,63.16,75,73,3.27
169,Oni,GE,2020-11-25 00:18:38,42.58,43.44,30.47,83,56,2.64
170,Albany,US,2020-11-25 00:18:38,42.6,-73.97,33.01,59,61,3.47
171,Mende,FR,2020-11-25 00:18:38,44.67,3.5,36.57,94,100,8.59
172,Samdari,IN,2020-11-25 00:17:20,25.82,72.58,65.57,28,22,6.13
173,Voyvozh,RU,2020-11-25 00:18:38,62.89,54.96,19.31,96,100,7.4
174,Varnamo,SE,2020-11-25 00:18:38,57.19,14.04,48.0,97,100,9.64
175,Pangnirtung,CA,2020-11-25 00:18:38,66.15,-65.71,5.0,77,90,11.41
176,Longyearbyen,SJ,2020-11-25 00:18:38,78.22,15.64,26.6,92,90,5.82
177,Marijampole,LT,2020-11-25 00:18:38,54.57,23.35,42.8,87,100,13.87
178,Jalu,LY,2020-11-25 00:18:38,29.03,21.55,58.77,55,30,10.87
179,Bandarbeyla,SO,2020-11-25 00:18:38,9.49,50.81,76.64,85,21,9.51
180,Port-Gentil,GA,2020-11-25 00:18:39,-0.72,8.78,80.6,88,40,9.17
181,Bumba,CD,2020-11-25 00:18:39,2.18,22.47,70.92,92,66,1.63
182,Manali,IN,2020-11-25 00:18:39,13.17,80.27,80.6,88,90,6.93
183,Okakarara,NA,2020-11-25 00:18:39,-20.58,17.43,71.38,22,0,8.48
184,Caceres,ES,2020-11-25 00:18:39,39.52,-6.37,50.0,88,42,1.99
185,Halifax,CA,2020-11-25 00:17:02,44.65,-63.57,32.0,89,42,11.41
186,Pisco,PE,2020-11-25 00:18:39,-13.7,-76.22,66.99,72,0,21.92
187,Bela,IN,2020-11-25 00:18:39,25.93,81.98,59.18,35,0,2.33
188,Lahan,NP,2020-11-25 00:15:12,26.73,86.5,62.24,56,0,5.08
189,Yar-Sale,RU,2020-11-25 00:18:39,66.83,70.83,13.95,96,94,10.54
190,Sindi,IN,2020-11-25 00:18:39,20.8,78.87,59.0,77,34,2.24
191,Maldonado,UY,2020-11-25 00:14:27,-34.67,-54.92,66.0,93,86,18.34
192,Henties Bay,NA,2020-11-25 00:18:40,-22.12,14.28,57.99,88,1,9.48
193,The Valley,AI,2020-11-25 00:18:40,18.22,-63.06,80.01,83,20,6.93
194,Maceio,BR,2020-11-25 00:18:40,-9.67,-35.74,78.8,74,40,6.93
195,Portel,BR,2020-11-25 00:15:38,-1.94,-50.82,77.99,83,47,4.94
196,Cidreira,BR,2020-11-25 00:18:40,-30.18,-50.21,71.51,79,0,23.31
197,Saint George,US,2020-11-25 00:17:55,37.1,-113.58,55.4,24,1,3.36
198,Tres Arroyos,AR,2020-11-25 00:18:40,-38.37,-60.28,63.39,92,13,5.5
199,Omboue,GA,2020-11-25 00:18:40,-1.57,9.26,77.65,91,100,4.43
200,Arkhipo-Osipovka,RU,2020-11-25 00:18:40,44.37,38.52,42.42,69,51,7.05
201,Maniitsoq,GL,2020-11-25 00:18:40,65.42,-52.9,27.52,98,100,10.51
202,Gat,IL,2020-11-25 00:18:40,31.61,34.76,60.8,72,0,2.24
203,Tanout,NE,2020-11-25 00:18:41,14.97,8.89,73.99,26,26,7.7
204,Vila Franca Do Campo,PT,2020-11-25 00:18:41,37.72,-25.43,55.4,58,20,12.75
205,Naryan-Mar,RU,2020-11-25 00:18:41,67.67,53.09,19.99,97,99,11.34
206,Salalah,OM,2020-11-25 00:18:41,17.02,54.09,78.8,27,0,11.41
207,Conde,BR,2020-11-25 00:18:41,-7.26,-34.91,77.0,83,20,4.7
208,Los Llanos De Aridane,ES,2020-11-25 00:18:41,28.66,-17.92,68.0,68,0,5.82
209,Carangola,BR,2020-11-25 00:18:41,-20.73,-42.03,65.8,90,100,2.53
210,Zabid,YE,2020-11-25 00:18:41,14.2,43.32,79.84,73,33,3.49
211,Saldanha,ZA,2020-11-25 00:18:41,-33.01,17.94,53.6,76,62,2.24
212,Calbuco,CL,2020-11-25 00:18:41,-41.77,-73.13,57.2,82,75,5.82
213,Igarka,RU,2020-11-25 00:18:41,67.47,86.58,9.46,95,100,12.57
214,Rumonge,BI,2020-11-25 00:18:42,-3.97,29.44,71.04,76,87,2.64
215,Koson,UZ,2020-11-25 00:18:42,39.04,65.58,28.4,58,90,4.7
216,Castro,BR,2020-11-25 00:18:42,-24.79,-50.01,63.28,92,33,7.63
217,Porto Novo,BJ,2020-11-25 00:18:42,6.5,2.6,84.2,79,40,12.75
218,Huarmey,PE,2020-11-25 00:18:42,-10.07,-78.15,64.29,81,8,8.19
219,Isiro,CD,2020-11-25 00:18:42,2.77,27.62,66.47,96,100,2.33
220,Keetmanshoop,NA,2020-11-25 00:18:42,-26.58,18.13,60.8,51,1,11.41
221,Brae,GB,2020-11-25 00:18:42,60.4,-1.35,44.6,87,75,10.29
222,Najran,SA,2020-11-25 00:18:42,17.49,44.13,59.0,54,0,2.21
223,Amapa,BR,2020-11-25 00:18:42,1.0,-52.0,73.81,97,100,3.71
224,Reynoldsburg,US,2020-11-25 00:18:42,39.95,-82.81,41.0,71,1,3.36
225,Pamyat Parizhskoy Kommuny,RU,2020-11-25 00:18:43,56.1,44.5,32.0,97,90,4.47
226,Salinopolis,BR,2020-11-25 00:18:43,-0.61,-47.36,80.28,80,64,13.87
227,Umm Bab,QA,2020-11-25 00:18:43,25.21,50.81,64.4,82,1,10.29
228,Srivardhan,IN,2020-11-25 00:18:43,18.03,73.02,75.0,65,86,3.24
229,Gao,ML,2020-11-25 00:18:43,16.64,1.64,67.95,22,1,7.34
230,Vallenar,CL,2020-11-25 00:18:43,-28.57,-70.76,67.93,36,10,1.88
231,Sachin,IN,2020-11-25 00:18:43,21.08,72.88,73.02,47,1,5.61
232,Mazara Del Vallo,IT,2020-11-25 00:18:43,37.66,12.59,55.0,93,20,3.36
233,Carnarvon,AU,2020-11-25 00:18:05,-24.87,113.63,73.4,78,0,19.46
234,Kruisfontein,ZA,2020-11-25 00:18:43,-34.0,24.73,57.99,87,22,3.0
235,Calvinia,ZA,2020-11-25 00:18:44,-31.47,19.78,47.66,92,44,4.36
236,Cesenatico,IT,2020-11-25 00:18:44,44.2,12.4,44.01,100,0,5.82
237,Sao Geraldo Do Araguaia,BR,2020-11-25 00:18:44,-6.4,-48.55,77.23,83,94,4.97
238,Almirante Tamandare,BR,2020-11-25 00:18:44,-25.32,-49.31,66.99,91,20,5.01
239,Oranjemund,NA,2020-11-25 00:18:44,-28.55,16.43,60.82,80,0,11.92
240,Jerusalem,IL,2020-11-25 00:18:44,31.77,35.22,53.01,78,95,2.53
241,Danville,US,2020-11-25 00:18:44,36.59,-79.39,43.0,75,1,3.65
242,Porto Santo,PT,2020-11-25 00:18:44,33.07,-16.34,64.4,77,40,11.41
243,Nuuk,GL,2020-11-25 00:17:01,64.18,-51.72,32.0,96,100,16.11
244,Inhambane,MZ,2020-11-25 00:18:44,-23.86,35.38,78.08,93,3,11.88
245,Tahta,EG,2020-11-25 00:18:44,26.77,31.5,57.2,58,0,4.7
246,Akureyri,IS,2020-11-25 00:18:45,65.68,-18.09,26.6,92,90,2.19
247,Murdochville,CA,2020-11-25 00:18:45,48.96,-65.5,24.8,62,26,41.38
248,Vryburg,ZA,2020-11-25 00:18:45,-26.96,24.73,64.31,33,0,6.82
249,Raudeberg,NO,2020-11-25 00:18:45,61.99,5.14,50.0,93,100,23.04
250,Kambove,CD,2020-11-25 00:18:45,-10.88,26.6,61.03,97,78,3.83
251,Vardo,NO,2020-11-25 00:18:45,70.37,31.11,35.74,81,99,9.24
252,Matara,LK,2020-11-25 00:18:45,5.95,80.54,76.62,86,100,10.09
253,Trapani,IT,2020-11-25 00:18:45,37.83,12.67,63.0,93,20,3.36
254,Bauta,CU,2020-11-25 00:18:45,22.98,-82.55,77.0,73,20,8.05
255,Savannah Bight,HN,2020-11-25 00:18:46,16.45,-85.85,80.6,83,40,10.4
256,Wukari,NG,2020-11-25 00:18:46,7.85,9.78,78.49,55,100,3.71
257,Waddan,LY,2020-11-25 00:18:46,29.16,16.14,55.85,61,1,6.87
258,Carauari,BR,2020-11-25 00:18:46,-4.88,-66.9,75.67,93,100,1.92
259,Romny,UA,2020-11-25 00:18:46,50.75,33.47,35.01,97,74,6.35
260,Maragogi,BR,2020-11-25 00:14:42,-9.01,-35.22,75.34,83,1,8.84
261,Kulhudhuffushi,MV,2020-11-25 00:18:46,6.62,73.07,81.23,61,75,2.46
262,Wajir,KE,2020-11-25 00:18:46,1.75,40.06,79.65,73,0,14.41
263,Touros,BR,2020-11-25 00:18:46,-5.2,-35.46,78.8,78,40,8.05
264,Mvuma,ZW,2020-11-25 00:18:46,-19.28,30.53,66.88,86,100,5.99
265,Kulebaki,RU,2020-11-25 00:18:46,55.41,42.53,31.91,99,100,5.41
266,Quelimane,MZ,2020-11-25 00:18:47,-17.88,36.89,79.29,71,15,4.72
267,Moose Factory,CA,2020-11-25 00:18:47,51.26,-80.61,14.0,78,90,9.17
268,Comodoro Rivadavia,AR,2020-11-25 00:17:20,-45.87,-67.5,64.4,35,0,19.46
269,Altensteig,DE,2020-11-25 00:18:47,48.58,8.6,33.01,94,0,2.44
270,Nkawkaw,GH,2020-11-25 00:18:47,6.55,-0.77,73.94,92,40,3.11
271,Jumla,NP,2020-11-25 00:18:47,29.27,82.18,37.78,68,100,3.85
272,Rawson,AR,2020-11-25 00:18:47,-43.3,-65.1,63.41,41,67,23.22
273,Margate,GB,2020-11-25 00:18:47,51.38,1.39,50.0,77,100,4.0
274,Wobulenzi,UG,2020-11-25 00:18:47,0.73,32.51,64.53,98,94,0.65
275,Zilair,RU,2020-11-25 00:18:47,52.23,57.44,18.66,97,100,4.36
276,Kisangani,CD,2020-11-25 00:18:47,0.52,25.2,69.96,92,100,2.57
277,Sechura,PE,2020-11-25 00:18:48,-5.56,-80.82,66.27,74,64,16.91
278,Soderhamn,SE,2020-11-25 00:18:48,61.3,17.06,37.0,98,85,1.01
