City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
587,Cahors,44.42,1.33,55.0,81,75,4.7,FR,2020-11-28 17:24:16,broken clouds
588,Ostersund,63.18,14.64,26.6,92,75,4.7,SE,2020-11-28 17:24:16,broken clouds
589,Shahr-E Babak,30.12,55.12,54.09,55,100,7.11,IR,2020-11-28 17:24:17,overcast clouds
590,Salinopolis,-0.61,-47.36,85.19,70,30,13.58,BR,2020-11-28 17:24:17,light rain
591,Presidencia Roque Saenz Pena,-26.79,-60.44,99.0,41,23,4.0,AR,2020-11-28 17:24:17,few clouds
592,Madison,34.73,-86.57,57.0,71,20,10.29,US,2020-11-28 17:23:21,few clouds
593,Sao Jose Da Coroa Grande,-8.9,-35.15,82.02,63,47,12.35,BR,2020-11-28 17:24:17,scattered clouds
594,Grindavik,63.84,-22.43,33.8,72,90,9.17,IS,2020-11-28 17:24:17,overcast clouds
595,San Lawrenz,36.06,14.2,68.0,60,75,17.22,MT,2020-11-28 17:24:17,light rain
596,Bodden Town,19.28,-81.25,82.99,74,20,12.75,KY,2020-11-28 17:24:17,few clouds
597,Soyo,-6.13,12.37,78.85,83,63,8.28,AO,2020-11-28 17:24:17,broken clouds
598,Ibaiti,-23.85,-50.19,86.0,61,4,4.0,BR,2020-11-28 17:24:17,clear sky
599,Kozhva,65.11,57.05,11.73,95,72,5.48,RU,2020-11-28 17:24:17,broken clouds
600,Sal Rei,16.18,-22.92,77.0,53,75,16.11,CV,2020-11-28 17:24:17,broken clouds
601,Santa Cruz,-17.8,-63.17,89.6,58,40,14.99,BO,2020-11-28 17:22:53,scattered clouds
602,Ronne,55.1,14.71,41.0,86,100,2.24,DK,2020-11-28 17:24:18,overcast clouds
603,Puerto Carreno,6.19,-67.49,86.09,70,73,4.74,CO,2020-11-28 17:24:18,moderate rain
604,Kjollefjord,70.95,27.35,36.5,80,100,13.2,NO,2020-11-28 17:24:18,overcast clouds
605,Dombas,62.07,9.12,16.45,81,0,1.12,NO,2020-11-28 17:24:18,clear sky
606,Saint-Joseph,-21.37,55.62,77.0,69,90,5.82,RE,2020-11-28 17:24:18,overcast clouds
607,Matay,28.42,30.78,60.64,51,0,6.8,EG,2020-11-28 17:20:25,clear sky
608,Nizhniy Odes,63.64,54.86,10.56,96,14,3.74,RU,2020-11-28 17:24:18,few clouds
609,Mangrol,21.12,70.12,75.11,38,0,13.51,IN,2020-11-28 17:24:18,clear sky
610,Mitsamiouli,-11.38,43.28,81.21,76,48,8.39,KM,2020-11-28 17:24:18,scattered clouds
611,Moura,38.14,-7.45,57.2,87,40,10.29,PT,2020-11-28 17:24:18,scattered clouds
612,Kalya,12.98,77.18,69.8,88,40,6.93,IN,2020-11-28 17:24:19,scattered clouds
613,Arona,28.1,-16.68,73.4,53,40,13.87,ES,2020-11-28 17:23:26,scattered clouds
614,Horn,51.87,8.95,39.0,97,80,7.63,DE,2020-11-28 17:24:19,broken clouds
